state,url
Alabama,http://arc-sos.state.al.us/CGI/CORPNAME.MBR/INPUT
Alaska,https://www.commerce.alaska.gov/cbp/main/search/entities
Arizona,https://ecorp.azcc.gov/EntitySearch/Index
Arkansas,https://www.sos.arkansas.gov/corps/search_all.php
California,https://bizfileonline.sos.ca.gov/search/business
Colorado,http://www.sos.state.co.us/biz/BusinessEntityCriteriaExt.do
Connecticut,https://service.ct.gov/business/s/onlinebusinesssearch?language=en_US
Delaware,https://icis.corp.delaware.gov/Ecorp/EntitySearch/NameSearch.aspx
Florida,http://search.sunbiz.org/Inquiry/CorporationSearch/ByName
Georgia,https://ecorp.sos.ga.gov/BusinessSearch
Hawaii,https://hbe.ehawaii.gov/documents/search.html?mobile=N&site_preference=normal
Idaho,https://sosbiz.idaho.gov/search/business
Illinois,http://www.ilsos.gov/corporatellc/
Indiana,https://bsd.sos.in.gov/publicbusinesssearch
Iowa,http://sos.iowa.gov/search/business/%28S%28vtbkadjcklknj2454gs5ef55%29%29/search.aspx
Kansas,https://www.kansas.gov/bess/flow/main?execution=e1s3
Kentucky,https://web.sos.ky.gov/ftsearch/
Louisiana,https://coraweb.sos.la.gov/CommercialSearch/CommercialSearch.aspx
Maine,https://icrs.informe.org/nei-sos-icrs/ICRS?MainPage=x
Maryland,https://egov.maryland.gov/BusinessExpress/EntitySearch
Massachusetts,http://corp.sec.state.ma.us/CorpWeb/CorpSearch/CorpSearch.aspx
Michigan,https://cofs.lara.state.mi.us/SearchApi/Search/Search
Minnesota,https://mblsportal.sos.state.mn.us/Business/Search
Mississippi,https://corp.sos.ms.gov/corp/portal/c/page/corpBusinessIdSearch/portal.aspx?#clear=1
Missouri,https://bsd.sos.mo.gov/BusinessEntity/BESearch.aspx?SearchType=0
Montana,https://biz.sosmt.gov/search/business
Nebraska,https://www.nebraska.gov/sos/corp/corpsearch.cgi?nav=search
Nevada,https://esos.nv.gov/EntitySearch/OnlineEntitySearch
New Hampshire,https://quickstart.sos.nh.gov/online/BusinessInquire
New Jersey,https://www.njportal.com/DOR/BusinessNameSearch/Search/BusinessName
New Mexico,https://portal.sos.state.nm.us/BFS/online/CorporationBusinessSearch
New York,https://apps.dos.ny.gov/publicInquiry/
North Carolina,http://www.secretary.state.nc.us/search/index/corp
North Dakota,https://apps.nd.gov/sc/busnsrch/busnSearch.htm
Ohio,https://businesssearch.ohiosos.gov/
Oklahoma,https://www.sos.ok.gov/corp/corpInquiryFind.aspx
Oregon,http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.login
Pennsylvania,https://www.corporations.pa.gov/Search/CorpSearch
â€œRhode Island,https://business.sos.ri.gov/CorpWeb/CorpSearch/CorpSearch.aspx
South Carolina,https://businessfilings.sc.gov/BusinessFiling/Entity/Search
South Dakota,https://sosenterprise.sd.gov/BusinessServices/Business/FilingSearch.aspx
Tennessee,https://tnbear.tn.gov/ECommerce/FilingSearch.aspx
Texas,https://mycpa.cpa.state.tx.us/coa/Index.html
Utah,https://businessregistration.utah.gov/EntitySearch/OnlineEntitySearch
Vermont,https://www.vtsosonline.com/online/BusinessInquire/
Virginia,https://cis.scc.virginia.gov/EntitySearch/Index
Washington,http://www.sos.wa.gov/corps/corps_search.aspx
West Virginia,http://apps.sos.wv.gov/business/corporations/
Wisconsin,https://www.wdfi.org/apps/CorpSearch/Search.aspx?
Wyoming ,https://wyobiz.wy.gov/Business/FilingSearch.aspx